puzzle,category,time,date,scramble,penalty,comment
"333","Normal","19460","1642109145132","B R B U' F2 L2 F2 B D L' U L2 D' L2 D' L2 D2 F2 L2","0",""
"333","Normal","18880","1642109258809","B' R F' B2 U' D2 B2 L2 D B' U2 L F2 U2 D2 R D2 R2 L D2","0",""
"333","Normal","17420","1642109375479","R2 D U2 R2 F2 U F2 U' L F' R U R B2 L2 U R D B'","0",""
"333","Normal","20460","1642109434535","R2 L D2 F' U2 R F2 U2 B D2 L U D B2 U' R2 U2 B2 R2","0",""
"333","Normal","19180","1642109506459","F2 D L2 R2 D' F2 U L2 D R2 F' D2 L D' R F R U B D2","0",""
"333","Normal","22190","1642111196821","F2 L2 U' L2 B2 L2 U2 L2 U L2 U R D U B2 L B' U L2 B' R","0",""
"333","Normal","21830","1642111321012","F L2 U2 F' U2 L2 F' U2 F U L D' B2 U R B' F L B' D2","0",""
"333","Normal","24690","1642111373838","B2 L2 U' L2 B2 L2 F2 D R2 D2 R2 F L F U' R2 D2 R' D2 B'","0",""
"333","Normal","14430","1642111412045","D2 B' D2 F' L2 B D2 F2 U2 B' R' U B2 D' R U L2 F' D' U F'","0",""
"333","Normal","19670","1642111459836","F2 U2 F2 D2 U2 F' U2 R2 F2 L' D' U' R2 B' F' U' R2 D L'","0",""
"333","Normal","20380","1642111511368","F2 U L2 D' F2 D' B2 D L2 D2 R F D2 L' U B' F' D2 R' D2","0",""
"333","Normal","22630","1642111560410","L2 U L2 F2 D' U' B2 L2 F' D U' R2 B' F2 U2 B L B F","0",""
"333","Normal","28760","1642247681316","D B2 U F' D2 R2 B' U B' D' F2 U2 R F2 U2 R U2 D2 B2 L","0",""
"333","Normal","18720","1642247720446","R2 B F2 L2 B' R2 U2 F L2 F R2 D' B F' R D' F' R D' U2 F","0",""
"333","Normal","25500","1642247765446","U2 L F2 R' F2 U2 B2 R U R F' U2 B R B' D2 B' L2 U2","0",""
"333","Normal","25680","1642247809746","L' F U2 R' L2 U F B L U D2 L2 U2 R U2 L U2 R2 B2 R","0",""
"333","Normal","25300","1642247856449","F D2 B2 F D2 L2 F' R2 B' L' R2 U' R' F D L' U L2 D B","0",""
"333","Normal","23000","1642405138785","F D2 L2 D2 L' F' L2 D' R F2 R2 L2 F' D2 B' R2 F2 D2 R2 F","0",""
"333","Normal","17720","1642405174495","B2 L B2 L2 F2 R' F2 U2 L2 U' R2 D R2 B' L2 D U2 R","0",""
"333","Normal","23040","1642405213364","B' R2 D2 L2 F' U2 R2 B2 R2 B L D L2 D2 L' D2 F R' D B2 F","0",""
"333","Normal","17540","1642405250962","R L' U D R2 U F R2 B' D R D F2 U' L2 D B2 R2 F2 B2","0",""
"333","Normal","26060","1642405300640","R2 U' B' R2 D F' D2 R' D R D2 B' D2 B R2 D2 R2 B2 L2","0",""
"333","Normal","19040","1642405335527","F' U2 B' L2 U2 R2 B' L2 R B L' U B2 D' L2 R2 U","0",""
"333","Normal","22260","1642405390641","U B2 U L2 R2 U F2 D2 F2 L2 B D R' B' F2 L U' L D U","0",""
"333","Normal","17030","1642405425070","F' L2 B2 F R2 U2 F R2 D2 R U L2 D2 F' L2 B' D2 B2 L U","0",""
"333","Normal","25450","1642405471661","F R2 U2 B D2 B2 U' B L B' U2 F2 L F2 U2 L' U2 B2 D2","0",""
"333","Normal","18620","1642405507541","R' D2 U2 R B2 D2 U2 R B2 L' D F2 D L D2 L2 F L2","0",""
"333","Normal","18940","1642405545135","D2 L2 F D2 L2 F2 D2 L2 B' D F2 R' B F2 L B' U2 R2 B2 U'","0",""
"333","Normal","20040","1642405584284","U2 L2 D B2 D' R2 B2 F2 U2 R' B' L' U' L2 D2 F U2 B2 D' L","0",""
"333","Normal","19440","1642405624048","D B2 U B2 U B2 U2 B2 L2 B F2 L B' U L R' D F'","0",""
"333","Normal","18410","1642405659759","D2 B2 L' U2 F2 L' D2 U2 L2 D2 U' L2 B' D U2 L2 D2 L U' B'","0",""
"333","Normal","19290","1642405701658","R2 D2 F' R2 B' L2 F2 D2 L2 R U2 B' R U' F' L2 R' F' U2 R","0",""
"333","Normal","15360","1642405733300","D2 B2 U2 F U2 R2 F' L' D2 B L2 D R2 U B' D' F'","0",""
"333","Normal","17460","1642405775498","B2 L' R2 B2 L F2 R' D2 B2 R U L B D' R2 U F2 U B2 U","0",""
"333","Normal","23920","1642405873222","L2 B2 U2 B' L2 F2 L2 F L2 D2 L2 R' F2 D L2 B' R2 F2 D F R2","0",""
"333","Normal","21570","1642405918835","L' U' B D2 F' D' L' F2 B' R D L2 D' L2 D F2 R2 F2 L2 F2 D2","0",""
"333","Normal","22400","1642405967346","D' U2 R2 F2 D2 F2 D2 U' F' L D2 R2 B' L' B U' R' U' B2","0",""
"333","Normal","17130","1642406002232","F2 D2 B L2 F' L2 R2 B R2 D2 F2 U F' R2 F2 U F' U' L B'","0",""
"333","Normal","20180","1642406044889","B2 U F2 D L2 R2 D2 R2 D' B2 F U F' L R2 B' F2 R' U","0",""
"333","Normal","17420","1642406078285","B2 U' R2 D2 L2 B2 U B2 R2 D' L' B F' D' B' L F2 D B2 F R'","0",""
"333","Normal","19900","1642406119196","U2 B2 L R D2 R' D2 F' D2 F' L' B2 R' D' L F' R D'","0",""
"333","Normal","21590","1642406157379","R U2 B2 R' D2 L' F2 D2 L' F2 R B D' L B2 D2 R2 F U2 L","0",""
"333","Normal","21910","1642406194726","L2 F2 R2 D2 B' U2 L2 F R' U' R B' L2 U2 B2 L D2 L'","0",""
"333","Normal","18870","1642406230271","B2 L' B2 U2 L U2 L' F2 R' U2 L2 U' L2 F' D2 U2 L' U B L2","0",""
"333","Normal","12320","1642406293595","U F' U2 F L2 U2 B' U2 F D2 F' U' R B L2 B R F' L2","0",""
"333","Normal","21790","1642409577055","B' L2 B D2 B L2 B2 R2 U2 B L U2 R' U B R' B R' U'","0",""
"333","Normal","17720","1642409616050","L2 F2 R' B2 U2 L U2 F2 U2 L' F' D R B2 L F U2 L' D2","0",""
"333","Normal","13230","1642409657858","U2 R' L2 B' U B U D' B' D R2 D2 B D2 L2 F2 B L2 B'","0",""
"333","Normal","17240","1642425790073","B' R L2 F' U B2 D2 R D B' L2 F U2 L2 B' U2 F' R2 U2 B'","0",""
"333","Normal","18010","1642425842520","B2 D L2 D L2 F2 D L2 F' L' F' L B2 L D2 U2 B2 R' B","0",""
"333","Normal","19540","1642425943186","B R2 B2 U2 B' D2 R2 U2 F L U F D' L R2 F' R' D L2 R'","0",""
"333","Normal","21670","1642425983574","L2 D R2 F2 U2 R2 D' B2 F2 D L R2 D R D2 F' R' B2 L' D","0",""
"333","Normal","20210","1642426033557","L2 D' R2 D' F2 L2 B2 R2 U2 F L2 R B' F2 D2 F' U R2 F' L2","0",""
"333","Normal","22350","1642426075068","F' L2 U2 F D2 B R2 F2 D2 L' D' R2 B' F L U' L D' L U2","0",""
"333","Normal","17920","1642426110485","U2 B' D2 R2 B' L2 B2 D2 R2 B' D F' L2 B' D B' R' U' B' R'","0",""
"333","Normal","18760","1642426145916","U2 B2 D F2 R2 F' L F' D2 R' U L2 B2 U2 F' D2","0",""
"333","Normal","17770","1642426182082","F D' F U2 B D' F L' F' R B L2 F2 B' U2 B' R2 F2","0",""
"333","Normal","20530","1642426223168","U2 R F2 R F2 R2 U2 L' U2 B R D B2 R2 D2 R B' R'","0",""
"333","Normal","19060","1642426267452","R2 F2 U B2 L2 B2 F2 D U' L B F U' B L R B2 D2 F' R","0",""
"333","Normal","17160","1642430173239","D2 L B2 U2 B2 L2 F2 L2 U2 R' U2 B F2 D R2 F' D L2 B2 L","0",""
"333","Normal","24290","1642430215515","D2 B2 R2 B' D2 B2 R2 D2 U2 L U R2 D B2 R' D' F L D R'","0",""
"333","Normal","22770","1642430260211","R2 D2 B2 D2 R2 B R2 F D2 R2 F L' F D F U R' B D' B R2","0",""
"333","Normal","19700","1642430295014","R2 F' R2 B' D2 R2 B' L2 U2 L2 D' R' F L2 R' D' R2 U2 B F","0",""
"333","Normal","19340","1642430332092","U R2 D2 R2 U' L2 U' B2 U' B' L' F' D U2 L' U2 R B' D' F2","0",""
"333","Normal","14000","1642430361436","L B' L' D2 B' U L B2 D2 F L2 U' F2 R2 F2 L2 D' F2 R2","0",""
"333","Normal","20460","1642430405667","B2 D2 R F2 L F2 L2 U2 B2 R' U F' U' B2 R' B' R' D2 L2","0",""
